actual,ae_persistence,ae_linear,ae_deep,ae_linear_mv,ae_deep_mv
943,70,72.5629,99.6711,69.9598,61.7564
873,15,11.5223,6.77617,14.179,5.44419
888,34,19.2353,11.4397,22.0416,26.5947
922,1,21.1458,26.2364,18.1873,28.0663
923,16,0.0140764,0.650652,3.20781,3.55218
939,76,44.2644,64.6364,47.8233,52.8933
1015,41,0.746109,29.3887,4.52507,44.5625
1056,10,38.7302,19.3317,34.9612,10.9866
1046,2,30.3211,1.16634,26.6265,33.2479
1048,20,34.9175,13.445,31.4105,21.7391
1028,12,2.07201,17.3586,5.4254,37.7259
1040,7,5.34232,13.4173,2.66516,21.3655
123,21,19.264,22.4742,19.6832,21.646
102,11,11.7782,10.9989,11.3143,10.695
113,7,6.49143,5.55185,6.003,6.68628
120,1,2.1283,3.86202,2.60236,2.22236
119,0,0.236547,2.05819,0.234861,0.967734
119,7,5.37046,6.30751,4.87949,7.03538
126,2,3.09771,3.35143,3.57375,2.02691
124,0,0.801314,0.877369,1.28416,0.920708
124,4,2.42889,4.6876,1.93268,5.93739
128,5,5.00182,6.29075,5.48722,7.69535
123,5,5.18088,5.03537,4.66865,5.49466
128,3,1.48504,4.72992,0.958371,4.11174
422,1,1.0053,0.556547,0.528903,5.02631
421,14,17.0617,16.4097,16.5847,9.70912
435,17,15.8969,10.5765,15.3961,14.4424
452,5,2.10113,8.05848,1.63246,4.07313
457,6,2.83651,3.86097,3.28875,4.34883
451,43,40.883,39.4518,40.4,40.0892
494,12,5.84314,6.68446,5.36138,8.68257
506,1,3.64614,3.73403,4.12433,3.03564
505,5,0.519476,4.77515,0.0240588,6.98344
510,2,0.900119,1.18563,1.40793,0.101007
512,1,1.52462,1.86704,2.0571,1.89716
511,14,10.6498,14.6056,10.076,7.89799
167,0,0.881925,0.848165,0.192334,1.03334
167,4,4.73644,3.44529,4.03326,2.40494
171,6,4.98677,3.80424,4.26722,6.08184
177,2,2.50879,5.88278,3.21241,5.10966
175,1,0.751577,0.794777,0.0517867,0.0292398
176,7,6.54706,4.61695,5.82645,5.98895
183,5,3.32777,4.27174,2.5945,4.65369
188,0,1.3674,0.437887,2.09793,0.257763
188,0,0.953092,1.50024,1.69265,1.67273
188,2,1.09204,0.389807,0.338183,1.98109
190,1,1.0774,0.540698,1.83896,0.666337
189,4,3.82569,4.00894,3.04064,3.42438
2301,24,17.3615,32.4583,17.523,26.622
2277,34,37.3469,24.1283,37.1956,29.5235
2311,17,14.412,2.0744,14.278,16.8871
2328,0,2.63989,24.2605,2.70195,15.0164
2328,6,7.44305,0.877808,7.44954,8.35329
2334,53,48.4739,45.9557,48.5143,48.5466
2387,24,13.3977,24.9198,13.4601,32.2272
2411,0,9.46674,8.65925,9.41497,0.195944
2411,3,9.81398,17.5416,9.79484,7.2907
2408,0,6.61803,0.337063,6.63669,2.7011
2408,3,5.25032,14.8823,5.36124,10.4655
2405,3,5.62812,1.52691,5.88066,2.60945
2125,62,48.7198,58.5643,47.5922,60.3765
2063,62,72.4055,63.0276,73.5992,59.5885
2125,30,31.0959,7.5522,32.2859,16.1439
2155,21,23.6147,6.87973,24.9143,6.74442
2176,19,28.034,19.5977,29.3841,50.0231
2195,109,103.295,100.314,104.741,104.211
2304,5,6.08328,0.322624,4.61807,2.66662
2309,2,5.88809,7.04717,4.3983,3.17272
2311,5,13.645,1.32363,12.2183,2.66118
2306,6,0.961212,10.5674,2.35694,3.60304
2312,6,6.56776,18.3137,5.25403,4.78357
2306,34,27.022,25.9413,28.2993,26.0321
1556,41,35.5778,43.3548,35.3104,54.11
1515,41,46.4438,38.5568,46.7443,26.0704
1556,45,41.7339,32.2215,42.0384,26.5659
1601,21,16.3839,5.64934,16.7689,1.02164
1622,16,12.2853,3.08553,12.728,11.4625
1638,61,52.7364,54.962,53.2302,54.6385
1699,25,8.30755,17.1419,8.82727,17.5964
1724,11,3.29593,1.92667,2.77204,5.84163
1735,1,10.9209,1.71754,10.4248,0.880232
1736,12,0.271157,7.36282,0.74519,5.9272
1748,2,5.81674,6.31504,5.41265,2.60635
1746,25,12.5834,23.3463,12.9355,9.10856
2587,22,17.0944,19.6332,17.6043,12.3287
2565,31,32.2775,30.3857,31.7789,27.0819
2596,11,8.5743,1.83551,8.0782,3.59827
2607,2,5.16839,25.375,5.60866,29.737
2605,1,1.96217,7.8496,1.56328,16.6252
2604,54,50.7407,45.6798,50.3472,49.9552
2658,22,11.8328,22.6575,11.4478,24.5633
2680,3,11.3461,3.76015,11.7239,2.95902
2677,4,3.86126,9.97834,4.30326,14.5661
2681,5,12.3714,12.5114,12.7937,4.18911
2676,7,10.2197,6.18099,10.7027,2.76085
2669,11,7.33263,25.4734,6.84945,16.6605
541,7,8.48617,10.3867,8.71471,11.8111
534,12,10.2384,2.96651,10.0094,1.27802
546,22,14.7309,3.64867,14.5152,5.77876
568,3,10.1052,20.5111,10.274,15.5043
565,11,9.07567,13.0776,8.95256,11.1976
576,45,36.874,39.2752,36.7702,40.1696
621,33,18.133,28.47,18.0374,31.8914
654,7,20.2777,17.6499,20.3729,9.15077
647,1,12.0829,2.28245,12.2042,1.94404
648,2,7.29272,4.6667,7.4724,1.5535
650,8,2.52314,12.0342,2.75545,5.84093
