actual,ae_persistence,ae_linear,ae_deep,ae_linear_mv,ae_deep_mv
943,21,14.1151,29.4334,11.8317,42.5458
873,50,51.8508,1.44145,54.1742,0.250874
888,51,49.5819,24.3772,52.037,5.70735
922,93,63.6236,56.7139,66.2241,35.5757
923,133,90.2667,140.563,92.9239,96.1496
939,107,68.4992,123.905,71.1279,104.828
1015,33,10.2039,35.3054,7.62187,44.3237
1056,28,56.2809,21.5768,53.7531,52.0725
1046,6,26.2245,54.0256,23.7392,15.2298
1048,1,10.3645,7.39685,8.04819,39.784
1028,27,30.1173,80.0034,32.4968,25.387
1040,31,27.569,76.6355,29.9405,43.2402
123,3,2.58212,6.09743,3.0649,5.22526
102,17,16.861,12.7157,16.3897,15.4867
113,6,5.90129,3.66018,5.4328,3.16624
120,6,4.16064,1.98038,3.66499,2.50264
119,5,3.85969,3.29479,3.37183,3.79169
119,5,4.03984,1.82042,3.5581,4.83046
126,2,0.0546471,3.8734,0.561152,2.9359
124,1,1.73264,3.39475,2.22136,2.82212
124,4,3.55614,4.20251,3.04374,1.5707
128,3,3.00735,3.3477,2.47321,1.91946
123,4,5.66535,8.8745,5.143,5.05358
128,2,0.67984,3.00851,1.19519,0.934278
422,30,30.9257,28.9804,30.4384,31.7981
421,36,35.5152,35.4289,35.0048,26.2348
435,16,19.3305,28.5065,18.8571,26.3163
452,42,37.9897,30.9958,37.4604,30.9242
457,49,41.4302,49.5987,40.8863,47.7245
451,54,48.7021,47.4837,48.1533,51.3842
494,16,9.80521,15.4255,9.24502,13.8882
506,6,1.12844,2.51051,0.554153,0.926702
505,6,2.22599,9.56665,1.64972,2.81354
510,15,10.132,4.8227,9.50622,7.98007
512,10,8.81561,7.83265,8.20243,4.21744
511,20,17.4999,15.6251,16.8712,14.8947
167,10,10.2633,8.59585,9.61442,6.89052
167,8,8.65641,5.17922,8.01312,2.95334
171,5,5.47073,1.77088,4.83015,3.05333
177,6,5.43811,1.86002,4.77501,0.0606797
175,13,10.8655,11.8799,10.1881,11.1675
176,12,9.91979,11.7123,9.24095,11.8745
183,5,3.75295,6.84003,3.07071,4.43195
188,2,1.25367,1.47186,0.556536,0.768182
188,1,0.99356,2.20845,0.298837,0.928571
188,5,4.61523,4.10945,3.89305,9.55969
190,3,2.83421,3.37298,2.11063,2.15564
189,3,3.89556,0.0846871,3.17693,1.30125
2301,27,38.4271,20.971,38.4008,24.2766
2277,51,60.0931,38.207,60.0747,22.8895
2311,23,29.8652,4.16318,29.8871,14.267
2328,59,55.6561,43.1879,55.6833,35.0456
2328,83,73.2009,79.9967,73.2329,74.697
2334,77,65.9993,89.8174,66.043,81.3971
2387,21,5.47126,3.54212,5.49727,9.61998
2411,3,19.2234,17.149,19.232,17.6038
2411,6,17.5656,41.0743,17.5653,24.0119
2408,0,12.2782,21.0245,12.3036,10.6281
2408,16,20.4835,39.0384,20.492,63.4763
2405,22,19.8242,60.0419,19.8746,95.1685
2125,30,45.4275,25.6047,46.5754,6.36944
2063,113,127.88,73.879,129.019,91.8311
2125,70,84.3676,70.8736,85.6,91.0366
2155,149,142.829,133.749,144.05,126.969
2176,133,119.303,118.627,120.544,117.618
2195,116,101.075,122.325,102.309,111.909
2304,2,12.0028,1.8911,10.773,3.84057
2309,3,7.37369,10.6674,6.17739,22.6924
2311,5,14.4209,10.3829,13.2084,19.8619
2306,34,20.3435,12.0044,21.4805,16.4388
2312,7,4.4551,10.8901,5.60244,23.2863
2306,11,13.5118,9.30719,14.6566,38.4142
