actual,ae_persistence,ae_linear,ae_deep,ae_linear_mv,ae_deep_mv
4604,468,328.484,486.755,336.337,391.778
4655,416,283.752,400.56,291.112,459.273
4751,315,198.193,284.257,205.476,257.737
4744,324,204.076,306.515,211.421,226.926
4768,280,162.169,278.737,169.93,220.844
4944,117,17.4217,141.448,25.3291,3.8565
5072,70,116.478,92.6708,108.532,228.912
5071,6,22.7992,120.556,15.2603,143.84
5066,14,18.7313,116.527,25.3774,53.1646
5068,13,86.7239,177.257,91.4574,241.823
5048,27,218.856,126.686,221.04,158.237
225,8,0.963343,8.5912,1.65691,2.62558
205,34,22.5618,33.2427,21.7976,27.4418
216,23,12.3398,22.8015,11.5509,24.6818
218,20,8.01302,20.6808,7.22397,20.2689
216,21,8.98645,11.5944,8.19956,6.91777
222,9,1.54166,14.5639,0.798012,6.51585
233,1,9.74928,3.05058,10.304,5.76884
239,9,17.6426,16.1514,18.1495,11.497
239,11,19.3826,24.0251,19.8486,15.5802
238,12,20.9698,24.9307,21.4088,17.4884
237,12,21.9264,25.0523,22.3403,19.9696
231,6,20.2537,29.2137,20.6562,16.7387
2131,26,112.187,17.5873,129.317,24.3209
1973,275,88.9904,285.405,71.0404,270.631
2013,228,44.7089,242.251,26.5269,248.856
2044,211,19.919,196.513,1.62681,166.067
1986,297,105.316,204.872,86.8644,188.182
2015,280,95.804,330.937,77.6302,189.762
2157,175,16.3404,194.297,34.6378,26.509
2248,30,119.477,21.692,137.193,120.659
2241,46,103.608,74.4315,121.207,104.464
2255,7,139.616,72.9599,156.896,77.1196
2283,20,159.768,41.098,177.252,99.103
2295,22,182.934,115.595,200.76,159.58
11567,526,477.038,484.161,481.757,459.418
11475,735,651.603,788.955,655.805,771.429
11622,593,508.867,604.753,512.881,584.299
11817,380,297.468,355.045,301.07,503.68
11794,412,347.145,457.992,350.866,409.033
11809,406,333.568,480.518,337.627,420.58
12093,163,62.3426,238.273,65.0993,162.028
12210,4,62.0565,89.9784,58.4645,7.57101
12215,58,165.175,171.114,161.401,164.352
12197,118,187.037,291.549,183.104,275.89
12206,141,200.525,123.471,196.491,238.007
12215,162,265.227,169.321,261.549,276.778
8356,492,249.986,337.137,254.54,324.371
8324,658,361.871,552.235,365.591,489.233
8408,579,288.607,475.499,291.689,471.782
8534,457,164.329,488.12,167.152,252.371
8521,481,189.562,334.538,192.324,245.235
8552,433,161.35,293.58,164.673,275.794
8848,144,124.864,19.7723,120.278,52.9396
8982,57,298.119,187.723,292.753,286.951
8987,140,370.074,435.525,364.534,361.956
8991,276,475.347,402.274,469.695,398.813
9002,328,507.348,337.725,501.797,415.093
8985,302,552.042,516.56,546.685,559.869
1340,46,55.9406,24.4051,57.4477,40.3115
1281,114,116.102,103.219,117.585,110.936
1295,105,107.457,100.381,108.922,99.241
1303,103,99.2061,86.3768,100.718,91.1317
1311,89,87.478,93.5223,88.9534,82.3074
1321,61,70.4124,48.5127,71.9373,83.5468
1386,15,21.5727,18.4038,23.1268,10.2067
1395,5,8.96924,26.62,10.5671,2.17223
1400,6,18.9598,4.47062,20.5624,10.9777
1406,10,3.34298,23.9873,4.94287,35.7706
1400,2,13.6559,5.44239,15.2446,30.5108
1382,21,29.9424,9.5432,31.5003,17.4445
3041,112,83.5893,117.149,99.4898,27.3257
2774,468,230.863,430.593,213.876,359.066
2832,412,178.455,472.322,161.114,409.664
2900,356,99.5726,496.772,82.2068,212.041
2918,330,69.2366,181.128,52.1871,47.1666
2957,295,21.6936,170.624,5.41583,39.476
3153,113,332.699,193.569,346.72,281.571
3242,273,462.491,361.862,475.644,382.421
3244,273,466.156,445.401,478.838,451.888
3256,364,541.656,467.948,553.77,523.733
3248,354,537.655,580.829,549.738,484.7
3252,346,570.391,593.724,582.528,494.835
9273,556,421.35,317.745,428.149,480.01
9208,980,726.106,992.948,732.236,972.347
9312,887,612.185,938.926,617.813,947.567
9525,675,413.391,675.333,418.893,620.167
9506,723,463.746,662.611,469.32,598.714
9566,680,431.65,852.058,437.833,595.124
9829,428,231.744,453.739,234.227,155.063
10188,53,77.009,106.438,73.3275,304.267
10199,1,161.001,471.494,157.443,373.746
10200,11,158.935,336.104,155.25,237.579
10229,43,121.296,183.005,117.768,12.5163
10246,47,265.839,83.0169,262.956,76.9271
5007,8,30.9008,28.7185,36.1093,43.6012
4908,202,188.862,247.359,193.723,220.787
4941,170,158.683,235.593,163.275,204.409
4983,138,120.424,175.946,124.93,117.033
5003,68,57.8115,32.1405,62.5769,14.0815
4872,189,164.491,150.846,169.756,144.602
5015,60,12.5538,64.9552,17.8192,32.8638
5110,85,128.328,211.273,122.399,274.451
5111,70,133.607,284.162,127.216,217.669
5121,89,157.609,186.172,150.834,198.578
5071,85,157.63,167.867,150.757,231.265
5061,99,163.207,157.108,156.492,252.899
2456,374,221.263,341.08,210.657,275.153
2465,457,257.708,418.687,246.625,374.691
2527,388,178.351,364.596,167.03,352.311
2581,326,133.356,301.485,121.898,194.11
2599,322,141.98,278.462,130.386,181.641
2640,291,123.728,330.14,112.357,187.834
2830,150,17.3782,69.4194,28.3875,22.9236
2922,53,92.8363,83.1076,103.471,79.751
2915,113,24.8573,22.6298,35.4752,8.70781
2907,229,40.3299,50.189,29.788,52.7202
2921,220,35.8445,54.9408,24.6642,113.942
2931,183,28.2111,131.011,16.6939,135.386
2543,56,50.1369,39.2029,62.0906,19.3192
2433,269,122.015,209.542,109.056,236.581
2471,216,92.0693,197.487,78.727,238.753
2520,163,32.5701,160.025,19.0756,183.388
2515,205,66.4138,191.702,52.7545,128.118
2436,269,148.599,266.859,135.421,234.287
2599,92,48.4419,47.3392,60.6993,17.7204
2702,62,175.736,131.976,187.343,150.604
2687,33,159.898,142.484,171.103,138.166
2683,75,196.55,166.479,207.323,150.811
2720,97,233.626,262.119,244.251,231.091
2705,80,258.076,261.578,268.581,182.05
1620,78,27.4574,92.5944,13.3662,27.2627
1448,407,296.421,333.97,281.212,348.254
1457,394,270.791,401.519,255.618,355.257
1512,339,216.971,287.758,201.801,244.794
1493,331,224.139,254.729,209.197,184.17
1536,299,200.426,300.473,185.575,209.691
1698,163,65.8488,96.2244,52.081,32.1415
1855,8,76.5666,66.6125,90.1392,167.762
1851,34,38.3523,98.7568,51.9969,73.7653
1851,111,12.3882,26.9485,1.53371,72.0798
1824,145,39.0336,65.2712,25.086,133.163
1835,143,27.2509,26.7625,13.1431,127.437
132,7,2.23753,2.36045,2.58661,0.192193
117,27,15.8876,19.1288,15.4831,20.0209
124,20,10.7426,14.0183,10.3024,10.812
127,18,8.43354,9.96996,7.96617,12.1563
129,17,8.03184,9.73977,7.55052,10.379
130,15,8.19648,17.3499,7.72893,10.4946
139,9,0.1371,1.54778,0.318279,0.48512
144,2,4.89712,4.78429,5.32763,9.07983
144,7,1.63272,2.93782,2.04865,6.53046
145,8,1.42699,0.7182,1.83676,3.41922
146,9,2.51777,3.48101,2.91859,10.3134
145,8,5.4911,1.26629,5.88703,2.67201
1365,84,31.6486,10.7642,31.338,32.3554
1330,156,21.391,70.1602,21.3712,16.4225
1353,123,4.39244,57.0771,4.60049,2.38483
1393,72,52.7868,28.285,53.0988,84.8082
1354,129,3.10345,21.3644,2.76608,35.727
1371,119,4.72005,26.8307,4.82954,41.5365
1449,13,107.107,72.4401,107.128,134.221
1486,46,152.506,148.557,152.276,176.542
1476,27,135.593,151.06,135.209,179.232
1465,44,148.589,144.545,148.1,217.925
1483,65,172.318,149.291,171.901,207.728
1490,77,190.701,147.898,190.517,209.832
157,10,9.38381,0.59586,9.53385,4.65751
152,22,19.2036,17.7187,19.3345,16.7903
156,18,16.4519,15.1765,16.5645,18.3725
161,15,12.6851,11.5934,12.7897,10.618
163,11,9.3767,8.57202,9.47255,8.79119
158,15,14.3092,16.0647,14.418,15.295
167,7,5.93893,8.36951,6.03237,3.24925
174,1,1.934,2.38192,1.82394,5.00708
174,0,1.27139,4.63383,1.15263,5.4707
176,4,5.17936,7.87484,5.05497,5.9952
174,0,1.30914,3.40534,1.18566,3.21498
173,2,1.76543,1.90795,1.62527,1.64113
237,23,13.5886,11.5229,13.5271,13.8069
235,30,16.8722,22.8296,16.7699,20.3921
242,22,9.42624,19.9709,9.30813,17.7285
247,21,6.82229,13.4265,6.68557,6.62646
244,25,12.234,20.7331,12.1054,8.7287
241,29,16.9857,33.9755,16.9013,17.4344
260,11,3.01833,12.7342,3.02471,5.79246
265,2,10.7747,6.45124,10.7336,17.597
264,4,5.4128,6.5003,5.33589,6.7042
268,5,6.44839,19.0764,6.34566,8.25217
269,7,6.85187,8.26096,6.75188,9.89376
270,8,6.87908,5.94772,6.79982,1.86463
272,24,3.73016,5.64777,2.62912,1.72351
247,56,32.8427,50.5718,31.6917,34.662
265,44,18.3067,45.1959,17.1183,41.4444
277,40,9.46328,38.5955,8.26985,27.2405
279,27,0.564069,7.56043,0.566002,1.66839
286,12,10.4338,10.8185,11.4868,9.19119
296,10,11.7798,8.65205,13.3179,21.3584
303,14,8.62828,3.48999,10.1687,7.53587
309,15,7.83032,8.47999,9.37007,12.2965
317,10,13.5647,5.21821,15.1165,20.8268
306,28,4.20742,16.59,2.583,6.83309
298,35,13.6135,23.7344,11.8647,26.279
327,28,4.1954,25.8307,4.20407,21.1594
325,38,8.99937,39.1058,8.94418,29.1813
326,37,6.45977,43.2425,6.35863,39.3687
327,37,6.55887,35.9834,6.44169,24.6135
329,38,8.36864,30.8563,8.26696,14.5153
332,35,5.57583,48.1332,5.57136,15.4621
355,11,17.7501,9.63461,17.6013,11.2386
363,2,23.4387,1.92523,23.19,21.0104
363,4,20.5131,12.7731,20.1996,15.5557
364,3,24.2847,24.4154,23.938,22.9949
367,0,26.4983,9.70191,26.1655,4.02704
367,1,29.2929,4.49972,29.0052,20.8788
1427,127,14.4155,110.585,29.9197,37.5135
1380,242,59.4914,240.158,43.4525,177.718
1409,210,13.7747,240.364,2.22299,182.443
1456,167,32.4612,167.323,48.4316,71.8632
1451,129,47.9469,48.6175,63.5367,18.5971
1469,121,47.666,155.917,63.1108,19.4571
1554,75,87.6989,17.6679,103.844,120.801
1622,9,126.992,104.163,143.091,178.52
1619,40,89.3322,136.76,105.697,131.43
1623,93,60.8675,50.9821,77.5148,31.4191
1580,135,4.44037,119.768,21.4303,46.1104
1590,141,13.9285,46.2154,31.39,16.0015
725,22,6.70884,13.1153,8.02871,4.39397
719,33,15.2069,20.1681,16.4336,11.1386
724,29,13.3683,24.2708,14.511,36.9842
724,30,14.3626,15.1965,15.4812,17.8617
723,29,12.76,23.513,13.873,10.7306
721,26,14.4433,40.1214,15.6233,20.2984
747,5,8.02673,11.6587,7.89831,6.1575
