mes_competencia,actual,persistence,linear,deep,linear_mv,deep_mv
202501,20314164,20513129,20276102,20581267,20472217,20161776
202502,20330074,20314164,20132081,20454876,20329261,20229471
202503,20237378,20330074,20070513,20145582,20268483,20064271
202504,20220091,20237378,19931969,20219408,20129121,20209925
202505,20227711,20220091,19882472,20210907,20079726,20157161
202506,19752779,20227711,19828233,20099470,20024934,20151514
202507,18843744,19752779,19482242,19572780,19673385,19593570
202508,18684745,18843744,18679448,18706549,18860431,18816355
202509,18679424,18684745,18471874,18325930,18648914,18409657
202510,18194843,18679424,18477642,18297807,18653592,18380984
202511,17947532,18194843,18135654,17955646,18306903,17963236
202512,18401764,17947532,17879164,17902416,18047812,17982820
