mes_competencia,actual,persistence,linear,deep,linear_mv,deep_mv
202501,20314164,20435913,20248829,20168082,20419596,20141007
202502,20330074,20381268,20169260,20296078,20339162,20223146
202503,20237378,20513129,20171118,19918114,20340440,20235575
202504,20220091,20314164,19942673,20057308,20111743,20044797
202505,20227711,20330074,19885585,19742509,20054364,20075962
202506,19752779,20237378,19741406,20214564,19908987,20354088
202507,18843744,20220091,19711425,20260255,19879070,20469751
202508,18684745,20227711,19709289,20083794,19877247,20328737
202509,18679424,19752779,19400481,19373944,19564651,19569903
202510,18194843,18843744,18700105,18494229,18857415,18767725
202511,17947532,18684745,18583002,18404740,18738215,18438331
202512,18401764,18679424,18619563,18670877,18775392,18650788
