bartik,dlemp,dlcov,uf
0.1670226079960993,0.2725027055416669,0.2898517207692486,RO
0.12331219438902982,-0.06693251124790899,0.6517603363933039,RO
0.19486684553351846,0.2890261055433809,-0.32636089755180775,RO
0.17671525364465215,0.2466184611287616,0.19986594398180796,RO
0.12071667685436856,0.5424088099418249,0.06483175370939129,RO
0.20760079160038544,0.17052295053728203,0.15113768973413375,RO
0.45065027283568426,-0.05265668995815202,-0.06486766340482007,RO
0.23334764840426678,0.3379150069901116,0.09805513889214867,RO
0.08162128711328956,0.5725792402088242,0.3859852550786184,RO
0.2112593376197866,0.2011945299424377,-0.36905347884257,RO
0.09279889687099513,0.33522922838161595,-0.24782793217519128,RO
0.15776765922338498,0.4579991556564174,0.01684726355720875,RO
0.06252907636685415,0.4796704559861952,0.33194944461114645,RO
0.16741748243607363,0.2729806942796476,-0.1562523883250409,RO
0.21674246348422685,0.4772908426794199,-0.12922041386491298,RO
0.14049226854242364,0.18039743858863838,0.2205007091572736,RO
0.17952334803457745,0.2446315358512181,0.10518792747721738,RO
0.10879551998260621,0.3725696751223603,-0.281782949583468,RO
0.11410960463271552,0.10296959999405318,0.3868474768094596,RO
0.0837345155588172,-0.12429771667757719,-0.07440346795561023,RO
0.2282096882060149,0.19364012363545127,-0.5154923988025666,RO
0.10349905945810808,0.13165838215000059,0.3843717048026661,RO
0.2449693563976348,0.28205017771245006,-0.4614950700897537,RO
0.13918373827290068,0.5149898177667613,0.3486669451474612,RR
0.11537068202738333,0.3672299755630202,0.1558830050186586,RO
0.17141662613599123,0.8823891801984737,0.46037354681956183,RR
0.1921706110767624,0.3204978258586004,-0.6294378556396001,RO
0.061190533050447804,0.2421114540210208,-0.20816328364724496,GO
0.020781450147610344,1.357127468134598,-0.14196934789937693,RR
0.09697330706214964,0.08538025155278063,-0.12447233748913422,RO
0.051394652823385935,1.3492444025120642,0.4280610869816124,RR
0.07395371645984525,0.008168867753795871,-0.12300167949910949,RO
0.13518064896075294,0.6915736161125148,-0.092482932821522,RR
0.06830689197676887,0.3541157614799109,-0.3908050926879626,RO
0.040658918957161554,-0.00924505814405105,0.024295447820959933,RR
0.19184695673771054,0.285903842591611,-0.03108193032755906,RO
0.18553544383707157,0.5442387550648331,0.36501103361654513,PA
0.11169501495281453,0.29185550767699187,-0.28729332990128664,RO
0.021043498127098086,0.25926954744427844,0.25721169718108,PA
0.07325664625880708,-0.07466152876901964,-0.07879276003430907,RO
0.07649992725588745,0.6676651439220787,-0.09615887540576086,PA
0.15260248332314694,0.34783219841115187,-0.5669564723737329,RO
0.18075809613640964,0.30057605962863626,-0.15985462992059676,RO
-0.002827077589740956,0.9882471740754266,0.15444467007405824,PA
