actual,ae_persistence,ae_linear,ae_deep,ae_linear_mv,ae_deep_mv
943,104,8.27112,135.103,15.2702,12.3666
873,182,82.7505,163.11,89.8796,13.8086
888,183,76.8408,29.6793,84.0474,75.165
922,97,25.0057,36.0016,32.0322,75.6603
923,103,35.3897,98.0925,42.3288,38.2172
939,86,7.99361,55.0412,1.3432,12.7758
1015,61,139.878,195.495,133.562,199.139
1056,93,197.262,323.083,191.12,322.379
1046,93,173.941,155.644,167.782,233.448
1048,105,157.077,234.904,150.948,394.916
1028,63,126.823,176.036,120.685,99.6471
1040,89,168.212,192.645,161.711,128.718
123,8,5.56356,9.04847,4.10724,5.42359
102,25,23.2616,24.1663,21.8411,22.2062
113,13,11.1044,18.7064,9.71508,10.4563
120,11,7.90207,16.2965,6.47336,14.1068
119,10,8.89958,14.1823,7.46942,17.0373
119,11,10.1741,11.0558,8.72077,10.2243
126,1,1.25721,3.44549,0.193458,3.51606
124,3,2.03124,6.28672,0.609789,1.2212
124,3,2.99571,1.54006,1.56947,9.95699
128,1,0.341374,6.14895,1.75861,1.59119
123,2,0.39952,2.65651,1.76497,1.69303
128,12,14.3939,22.6735,15.6297,18.6513
422,103,76.1233,109.344,74.3463,98.4163
421,101,76.2782,93.9659,74.5169,94.547
435,96,68.7524,97.0166,66.9439,91.0159
452,76,48.2689,67.2529,46.4819,68.6921
457,73,45.9072,70.6262,44.0874,72.3151
451,83,55.3007,81.2301,53.4673,77.1946
494,37,7.27915,16.7858,5.43483,16.8128
506,22,5.75656,7.48424,7.60003,6.98384
505,22,3.58612,0.041388,5.46128,2.01371
510,18,3.6073,1.72906,5.48894,7.01334
512,28,6.92394,3.7734,4.98076,5.28175
511,20,4.60925,1.50728,2.7039,5.58659
167,26,20.8359,27.4287,18.536,20.1534
167,26,21.2698,31.3071,18.9786,22.4944
171,21,17.3278,22.4655,15.033,17.424
177,15,10.3954,17.9431,8.10738,7.22213
175,17,12.3166,16.6401,10.0212,11.7499
176,15,11.4409,17.2509,9.14459,2.94631
183,11,5.79964,6.86437,3.47701,12.5598
188,3,0.556248,3.88284,2.86252,5.22877
188,1,3.18234,0.30325,5.46681,7.05718
188,3,2.74665,2.7665,5.03052,4.82529
190,4,4.73237,5.94047,6.99978,6.99732
189,2,3.66053,2.33524,5.91663,1.84985
2301,107,67.7227,70.5457,66.5519,38.26
2277,115,79.1155,29.0793,77.9735,19.8742
2311,72,45.1148,36.0451,43.8949,49.0517
2328,62,23.265,44.4015,22.1259,73.0784
2328,58,4.06014,28.3102,2.88909,85.7268
2334,48,2.64673,104.551,3.80722,64.6039
2387,22,66.8486,112.934,68.1943,149.655
2411,41,100.266,95.8618,101.599,109.239
2411,2,69.9861,60.9071,71.4859,61.2595
2408,3,43.1484,72.5896,44.6779,30.9724
2408,48,7.8197,33.7772,9.44135,23.6796
2405,38,43.1715,3.36495,44.5588,77.0465
2125,215,169.591,173.249,173.296,162.208
2063,256,222.08,209.947,225.827,216.314
2125,192,157.807,118.428,161.473,115.59
2155,154,120.94,135.736,124.604,110.179
2176,139,103.59,141.642,107.15,73.7004
2195,119,83.9507,57.2993,87.5812,48.495
2304,35,23.4618,40.8736,19.9047,16.1498
2309,28,39.0527,26.8147,35.5238,48.8289
2311,25,31.1809,51.2018,27.7632,36.9465
2306,37,14.0547,51.1041,10.6873,1.90048
2312,91,11.3088,22.1666,14.7236,18.1243
2306,76,9.36349,2.25254,5.8502,0.774994
1556,215,131.827,199.591,132.172,162.877
1515,239,161.891,186.29,162.293,165.177
1556,213,134.382,189.958,134.758,156.076
1601,193,109.221,160.165,109.599,152.711
1622,176,92.7909,131.693,93.0669,183.237
1638,174,86.8051,146.759,87.0651,144.9
