mes_competencia,actual,persistence,linear,deep,linear_mv,deep_mv
202501,20314164,20572206,18613883,19006712,19138529,18623026
202502,20330074,20728192,18916849,18711696,19448033,18722847
202503,20237378,20284399,18670915,18228727,19190319,18039434
202504,20220091,20263991,18429757,18303365,18940592,18415319
202505,20227711,20278307,18372755,18031667,18883040,18279558
202506,19752779,20365319,18603696,18433780,19118453,18941672
202507,18843744,20481565,18686424,19087711,19204017,19489129
202508,18684745,20441614,18576846,19026971,19091533,19598803
202509,18679424,20440554,18602884,19488311,19119940,19346159
202510,18194843,20435913,18625437,19775927,19142953,19455699
202511,17947532,20381268,18587504,19394906,19104376,19463705
202512,18401764,20513129,18683565,19816299,19202039,19611070
